AH2011;Educação;Lazer;Negócios;Refeição;Saúde
1506;81.0;22.0;22.0;154.0;10.0
1507;101.0;39.0;25.0;99.0;16.0
1508;6.0;1.0;0.0;21.0;0.0
1509;132.0;39.0;24.0;195.0;16.0
1510;116.0;35.0;39.0;112.0;13.0
1511;130.0;33.0;31.0;176.0;31.0
1512;102.0;26.0;25.0;157.0;27.0
1513;18.0;6.0;5.0;60.0;3.0
1514;50.0;12.0;15.0;44.0;6.0
1515;25.0;8.0;10.0;48.0;1.0
1516;18.0;5.0;3.0;62.0;1.0
1517;80.0;16.0;12.0;214.0;0.0
1518;80.0;28.0;13.0;270.0;1.0
1519;59.0;19.0;18.0;123.0;1.0
1520;77.0;32.0;20.0;274.0;4.0
15201;15.0;1.0;5.0;50.0;7.0
15202;14.0;0.0;5.0;28.0;1.0
15203;8.0;3.0;5.0;69.0;2.0
15204;25.0;4.0;11.0;90.0;6.0
15205;40.0;13.0;11.0;138.0;10.0
15206;38.0;9.0;10.0;151.0;5.0
15207;19.0;8.0;11.0;109.0;1.0
15208;44.0;7.0;5.0;159.0;3.0
15209;35.0;14.0;8.0;74.0;0.0
1521;76.0;22.0;18.0;244.0;1.0
15210;2.0;0.0;2.0;37.0;1.0
15211;10.0;0.0;3.0;40.0;1.0
15212;35.0;17.0;16.0;176.0;6.0
15213;10.0;0.0;1.0;7.0;0.0
15214;49.0;22.0;17.0;181.0;1.0
15215;28.0;11.0;9.0;101.0;1.0
15217;2.0;0.0;1.0;14.0;0.0
15218;9.0;2.0;0.0;17.0;0.0
15219;16.0;2.0;4.0;36.0;1.0
1522;116.0;28.0;30.0;359.0;14.0
15223;9.0;2.0;2.0;29.0;0.0
15224;12.0;3.0;1.0;31.0;0.0
15225;2.0;1.0;0.0;7.0;0.0
15226;10.0;4.0;4.0;54.0;0.0
15227;53.0;7.0;7.0;179.0;1.0
15229;11.0;4.0;2.0;83.0;1.0
1523;98.0;15.0;27.0;205.0;5.0
1524;211.0;31.0;40.0;328.0;25.0
1525;27.0;6.0;3.0;54.0;1.0
1526;297.0;53.0;117.0;316.0;83.0
1527;37.0;0.0;2.0;11.0;2.0
1528;141.0;29.0;33.0;154.0;24.0
1529;204.0;39.0;43.0;138.0;55.0
1530;14.0;9.0;6.0;11.0;3.0
1531;203.0;50.0;63.0;457.0;42.0
1532;55.0;15.0;13.0;54.0;19.0
1533;45.0;23.0;10.0;27.0;8.0
1534;15.0;8.0;3.0;27.0;36.0
1535;110.0;43.0;17.0;134.0;24.0
1536;35.0;4.0;5.0;28.0;14.0
1538;37.0;13.0;7.0;15.0;8.0
1539;45.0;21.0;12.0;37.0;15.0
1540;8.0;1.0;1.0;4.0;2.0
1541;2.0;2.0;0.0;11.0;0.0
1542;14.0;3.0;1.0;17.0;1.0
1543;1.0;1.0;2.0;0.0;0.0
1544;7.0;2.0;0.0;26.0;0.0
1545;27.0;7.0;6.0;59.0;1.0
1546;164.0;65.0;39.0;303.0;22.0
1547;66.0;22.0;16.0;78.0;15.0
1548;76.0;29.0;24.0;113.0;11.0
1549;10.0;4.0;1.0;33.0;0.0
1550;7.0;8.0;0.0;6.0;1.0
16001;5.0;3.0;8.0;4.0;0.0
16002;10.0;3.0;4.0;21.0;1.0
16003;4.0;1.0;35.0;13.0;0.0
16005;0.0;1.0;1.0;3.0;0.0
16007;41.0;11.0;199.0;21.0;1.0
16008;22.0;16.0;568.0;40.0;8.0
16009;6.0;0.0;7.0;2.0;1.0
1601;78.0;19.0;14.0;92.0;10.0
1602;119.0;25.0;23.0;194.0;34.0
1603;172.0;37.0;52.0;372.0;22.0
1604;143.0;16.0;25.0;108.0;29.0
1605;8.0;2.0;2.0;15.0;0.0
1606;57.0;14.0;23.0;213.0;14.0
1607;44.0;4.0;5.0;55.0;3.0
1608;69.0;18.0;13.0;64.0;11.0
1609;151.0;29.0;72.0;246.0;85.0
1610;204.0;36.0;26.0;91.0;31.0
1611;60.0;9.0;12.0;89.0;14.0
1612;56.0;18.0;30.0;132.0;9.0
1613;103.0;16.0;18.0;248.0;7.0
1614;81.0;11.0;8.0;60.0;10.0
1615;14.0;1.0;10.0;82.0;3.0
1616;8.0;5.0;3.0;47.0;0.0
1617;30.0;11.0;10.0;38.0;2.0
1618;56.0;13.0;23.0;173.0;17.0
1619;78.0;21.0;24.0;191.0;6.0
1620;28.0;9.0;15.0;83.0;11.0
1621;57.0;20.0;16.0;70.0;9.0
1622;25.0;15.0;12.0;30.0;3.0
1623;54.0;12.0;15.0;136.0;13.0
1624;70.0;16.0;12.0;83.0;7.0
1625;23.0;5.0;4.0;24.0;3.0
1626;126.0;35.0;26.0;103.0;23.0
1627;57.0;13.0;7.0;110.0;2.0
1628;80.0;21.0;27.0;160.0;4.0
1629;42.0;9.0;7.0;93.0;2.0
1630;53.0;9.0;9.0;125.0;6.0
1631;15.0;2.0;4.0;71.0;3.0
1632;45.0;17.0;6.0;72.0;1.0
1633;44.0;13.0;8.0;100.0;5.0
1634;34.0;9.0;9.0;62.0;5.0
1635;21.0;16.0;4.0;43.0;2.0
1636;29.0;7.0;4.0;41.0;0.0
1637;24.0;5.0;4.0;47.0;1.0
1638;76.0;16.0;13.0;258.0;4.0
1639;32.0;9.0;3.0;92.0;2.0
1640;26.0;3.0;6.0;83.0;3.0
1641;27.0;5.0;1.0;55.0;2.0
1642;19.0;4.0;5.0;44.0;1.0
1643;36.0;2.0;3.0;55.0;3.0
1644;44.0;4.0;8.0;84.0;1.0
1645;5.0;1.0;0.0;3.0;0.0
1646;8.0;1.0;0.0;23.0;0.0
1647;4.0;1.0;1.0;31.0;0.0
1648;29.0;8.0;5.0;75.0;0.0
1649;5.0;0.0;2.0;14.0;0.0
1650;166.0;21.0;28.0;85.0;49.0
1651;14.0;5.0;2.0;5.0;4.0
1652;17.0;6.0;3.0;37.0;4.0
1653;131.0;20.0;13.0;76.0;20.0
1654;8.0;20.0;10.0;147.0;8.0
1655;63.0;15.0;18.0;118.0;22.0
1656;26.0;11.0;12.0;41.0;1.0
1657;16.0;9.0;4.0;24.0;0.0
1658;10.0;0.0;1.0;34.0;0.0
1659;40.0;7.0;5.0;55.0;2.0
1660;5.0;4.0;0.0;32.0;0.0
1661;0.0;0.0;0.0;1.0;0.0
1662;2.0;0.0;1.0;11.0;1.0
1663;18.0;7.0;2.0;20.0;0.0
1664;24.0;3.0;1.0;35.0;1.0
1665;14.0;6.0;1.0;13.0;0.0
1666;11.0;3.0;2.0;27.0;2.0
1667;16.0;1.0;2.0;24.0;0.0
1668;10.0;1.0;5.0;29.0;0.0
1669;23.0;5.0;4.0;83.0;0.0
1670;10.0;1.0;2.0;39.0;0.0
1671;6.0;1.0;1.0;3.0;0.0
1672;29.0;6.0;6.0;68.0;6.0
17001;116.0;28.0;45.0;363.0;36.0
17002;17.0;2.0;8.0;61.0;2.0
17003;5.0;0.0;0.0;12.0;0.0
17004;6.0;4.0;5.0;46.0;1.0
17005;24.0;6.0;5.0;54.0;0.0
17006;8.0;1.0;1.0;25.0;0.0
17007;30.0;8.0;21.0;102.0;10.0
17008;21.0;6.0;8.0;68.0;0.0
17009;8.0;3.0;4.0;19.0;0.0
1701;48.0;14.0;11.0;118.0;21.0
17010;6.0;3.0;5.0;10.0;0.0
17011;3.0;0.0;1.0;8.0;0.0
17013;1.0;0.0;0.0;3.0;0.0
17015;1.0;0.0;1.0;9.0;0.0
17016;8.0;3.0;0.0;17.0;0.0
17017;1.0;0.0;0.0;0.0;0.0
