,AH2011,Educação,Lazer,Negócios,Refeição,Saúde
894,21011,26.0,7.0,2.0,59.0,1.0
895,21012,16.0,3.0,3.0,71.0,4.0
896,21013,0.0,0.0,0.0,10.0,0.0
897,21014,0.0,0.0,0.0,23.0,0.0
898,21015,5.0,0.0,0.0,7.0,0.0
899,21017,2.0,0.0,0.0,3.0,0.0
900,21018,9.0,2.0,0.0,34.0,5.0
901,21019,3.0,2.0,1.0,6.0,0.0
902,21020,17.0,1.0,4.0,64.0,2.0
903,21021,21.0,4.0,6.0,81.0,0.0
904,21022,5.0,4.0,1.0,23.0,1.0
905,21023,13.0,0.0,2.0,40.0,3.0
906,21024,3.0,1.0,1.0,12.0,0.0
907,21026,15.0,1.0,4.0,39.0,0.0
908,21027,2.0,1.0,2.0,27.0,1.0
909,21028,14.0,3.0,2.0,19.0,0.0
910,21029,4.0,1.0,2.0,6.0,0.0
911,21030,23.0,1.0,4.0,17.0,4.0
912,21031,8.0,1.0,2.0,21.0,1.0
913,21032,23.0,6.0,3.0,73.0,0.0
914,22101,42.0,8.0,11.0,94.0,10.0
915,22102,2.0,1.0,0.0,11.0,0.0
916,22103,1.0,2.0,5.0,33.0,1.0
917,23301,10.0,2.0,4.0,34.0,0.0
918,23302,18.0,1.0,4.0,43.0,2.0
919,23303,0.0,0.0,2.0,13.0,0.0
920,23304,6.0,4.0,4.0,19.0,2.0
921,23306,9.0,1.0,0.0,16.0,0.0
922,24101,49.0,14.0,21.0,122.0,15.0
923,24102,12.0,3.0,5.0,27.0,0.0
924,24103,6.0,1.0,0.0,29.0,0.0
925,24104,1.0,0.0,0.0,8.0,1.0
926,24105,5.0,2.0,2.0,25.0,1.0
927,24106,4.0,0.0,2.0,19.0,0.0
928,24107,2.0,0.0,0.0,7.0,0.0
929,24108,3.0,0.0,1.0,11.0,0.0
930,24109,9.0,2.0,0.0,21.0,0.0
931,24110,2.0,0.0,1.0,6.0,0.0
932,24112,1.0,0.0,0.0,1.0,0.0
933,25001,8.0,4.0,6.0,65.0,3.0
934,25002,0.0,0.0,1.0,2.0,0.0
935,25003,1.0,1.0,0.0,0.0,0.0
936,25101,9.0,1.0,2.0,10.0,0.0
937,25201,0.0,0.0,0.0,5.0,1.0
938,25202,0.0,0.0,0.0,4.0,0.0
939,25203,0.0,0.0,0.0,4.0,0.0
940,26001,15.0,3.0,15.0,54.0,3.0
941,26002,5.0,2.0,1.0,12.0,0.0
942,26003,0.0,0.0,0.0,1.0,0.0
943,26005,3.0,0.0,0.0,11.0,2.0
944,26006,6.0,0.0,7.0,33.0,0.0
945,27001,30.0,6.0,10.0,93.0,11.0
946,27002,0.0,0.0,0.0,3.0,0.0
947,29001,14.0,2.0,14.0,49.0,8.0
948,29002,3.0,0.0,4.0,5.0,0.0
949,29003,1.0,4.0,0.0,8.0,0.0
950,29005,0.0,0.0,0.0,1.0,0.0
951,29007,5.0,0.0,0.0,7.0,0.0
952,29008,1.0,1.0,0.0,0.0,0.0
953,29101,7.0,2.0,3.0,22.0,3.0
954,29102,0.0,0.0,0.0,2.0,0.0
955,29103,1.0,0.0,0.0,5.0,0.0
956,29104,1.0,0.0,0.0,4.0,0.0
957,29105,8.0,3.0,4.0,56.0,0.0
958,30001,9.0,4.0,3.0,41.0,0.0
959,30002,42.0,12.0,71.0,140.0,16.0
960,30003,23.0,3.0,14.0,95.0,1.0
961,30004,80.0,28.0,91.0,301.0,47.0
962,30005,14.0,2.0,13.0,47.0,0.0
963,30006,21.0,5.0,13.0,65.0,3.0
964,30007,0.0,0.0,1.0,0.0,0.0
965,30008,1.0,1.0,1.0,5.0,0.0
966,3001,27.0,12.0,19.0,127.0,23.0
967,3002,5.0,1.0,0.0,11.0,0.0
968,3003,6.0,1.0,0.0,4.0,0.0
969,3004,7.0,0.0,3.0,20.0,3.0
970,3005,24.0,2.0,3.0,76.0,8.0
971,3006,21.0,5.0,3.0,39.0,8.0
972,3007,0.0,0.0,0.0,5.0,0.0
973,3008,0.0,0.0,0.0,18.0,0.0
974,3009,4.0,2.0,3.0,42.0,0.0
975,30101,7.0,2.0,2.0,46.0,1.0
976,30102,2.0,0.0,0.0,2.0,0.0
977,3011,0.0,0.0,0.0,8.0,0.0
978,3012,2.0,0.0,0.0,12.0,0.0
979,3013,8.0,3.0,1.0,16.0,3.0
980,3015,5.0,0.0,0.0,7.0,0.0
981,3016,18.0,4.0,4.0,86.0,0.0
982,3018,14.0,2.0,8.0,2.0,3.0
983,31001,22.0,7.0,8.0,69.0,13.0
984,31002,14.0,7.0,8.0,56.0,5.0
985,31003,0.0,0.0,0.0,11.0,1.0
986,32001,4.0,1.0,2.0,27.0,1.0
987,3201,1.0,2.0,0.0,4.0,0.0
988,3202,6.0,0.0,0.0,7.0,0.0
989,3204,1.0,0.0,0.0,1.0,0.0
990,3207,22.0,2.0,4.0,57.0,1.0
991,3208,0.0,0.0,0.0,1.0,0.0
