MOTIVO_VIAGEM,MOTIVOS_PRIMARIOS,HORARIO_INICIO_VIAGEM,TEMPO_ENTRE_EMBARQUES,TEMPO_DESLOCAMENTO,AH_ORIGEM,AH_DESTINO,ID_VIAGEM,QTD_VIAGENS_IND
Residência,Residência,15.333333333333334,20.166666666666668,0.8333333333333334,2002,2036,2,2
Trabalho,Trabalho,8.0,11.25,0.75,2048,2001,1,2
Residência,Residência,19.25,12.75,1.0,2001,2048,2,2
Trabalho,Trabalho,6.916666666666667,6.083333333333333,1.0833333333333333,2035,2002,1,2
Residência,Residência,13.0,17.916666666666668,1.25,2002,2035,2,2
Outros,Secundário,15.5,1.8333333333333333,0.6666666666666666,2035,2003,1,2
Residência,Residência,17.333333333333332,22.166666666666668,1.0833333333333333,2003,2035,2,2
Trabalho,Trabalho,7.416666666666667,10.0,0.8333333333333334,2035,2004,1,2
Residência,Residência,17.416666666666668,14.0,1.5,2004,2035,2,2
Trabalho,Trabalho,6.0,10.166666666666666,1.05,2035,2003,1,2
Residência,Residência,16.166666666666668,13.833333333333334,1.3333333333333333,2003,2035,2,2
Trabalho,Trabalho,6.75,11.333333333333334,1.3333333333333333,2042,5023,1,2
Residência,Residência,18.083333333333332,12.666666666666666,1.0,5023,2042,2,2
Trabalho,Trabalho,6.5,11.666666666666666,1.3333333333333333,2042,5323,1,2
Residência,Residência,18.166666666666668,12.333333333333334,1.25,5323,2042,2,2
Trabalho,Trabalho,4.5,11.666666666666666,1.3333333333333333,2042,5325,1,2
Residência,Residência,16.166666666666668,12.333333333333334,1.1666666666666667,5325,2042,2,2
Trabalho,Trabalho,5.0,12.166666666666666,1.3333333333333333,2042,2029,1,2
Residência,Residência,17.166666666666668,11.833333333333334,1.4166666666666667,2029,2042,2,2
Negócios,Secundário,11.416666666666666,6.5,2.083333333333333,2067,1069,1,2
Residência,Residência,17.916666666666668,17.5,1.5833333333333333,1069,2067,2,2
Saúde,Secundário,9.0,2.6666666666666665,0.75,18006,18104,1,2
Residência,Residência,11.666666666666666,21.33333333333333,0.6666666666666666,18104,18006,2,2
Trabalho,Trabalho,5.666666666666667,11.416666666666666,1.3333333333333333,2067,1012,1,2
Residência,Residência,17.083333333333332,12.583333333333334,2.1666666666666665,1012,2067,2,2
Negócios,Secundário,13.0,6.0,0.6666666666666666,2050,2001,1,2
Residência,Residência,19.0,18.0,1.0,2001,2050,2,2
Trabalho,Trabalho,5.0,10.0,1.6666666666666667,2050,1153,1,2
